what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.0.201106081058,"org.eclipse.cdt.dsf.gdb.ui",1316602783592
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1316602783772
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316602789146
error,log,,,"Internal Error",1316602790456
error,log,,,"Problems encountered while deleting resources.",1316602790456
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316602797350
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1316602797380
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1316602797380
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316602799139
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316602808249
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1316602813258
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316602814768
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316602931026
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1316602936816
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1316602948949
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1316602953981
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1316602955693
executed,command,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.project.buildAll",1316602955694
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316602956173
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316602957492
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316602958262
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316602959161
